Date,Product,Region,Units,Revenue,Cost
2024-01-15,Widget A,North,150,4500.00,2250.00
2024-01-15,Widget B,South,200,8000.00,3600.00
2024-01-15,Gadget X,East,75,5625.00,2812.50
2024-02-10,Widget A,South,180,5400.00,2700.00
2024-02-10,Widget B,North,90,3600.00,1620.00
2024-02-10,Gadget X,West,120,9000.00,4500.00
2024-03-05,Widget A,East,210,6300.00,3150.00
2024-03-05,Widget B,West,160,6400.00,2880.00
2024-03-05,Gadget X,North,95,7125.00,3562.50
2024-04-20,Widget A,West,130,3900.00,1950.00
2024-04-20,Widget B,East,220,8800.00,3960.00
2024-04-20,Gadget X,South,110,8250.00,4125.00
2024-05-12,Widget A,North,175,5250.00,2625.00
2024-05-12,Widget B,South,145,5800.00,2610.00
2024-05-12,Gadget X,East,88,6600.00,3300.00
2024-06-08,Widget A,South,195,5850.00,2925.00
2024-06-08,Widget B,North,170,6800.00,3060.00
2024-06-08,Gadget X,West,140,10500.00,5250.00
